-56,-45
454,-6
448,-273
646,-519
418,-741
205,-660
79,-408
-191,-384
-287,-108
-488,-411
-350,-663
-122,-750
193,-999
28,-1245
-269,-1290
-425,-1152
-659,-1275
-839,-1116
-1019,-936
-1133,-636
-1316,-225
-1580,-315
-1835,-168
-2081,-285
-1925,-372
-2000,-498
-2006,-954
-1730,-1026
-1529,-957
-1613,-1206
-1907,-1206
-1799,-1437
-998,-150
-764,-492
-614,-654
-893,-684
-1310,-549
-1997,-90
-1379,-1167
-1241,-936
-1013,-1215
-854,-1371
-1313,-1428
-1568,-1569
-1823,-1797
-1601,-1911
-1643,-1671
-1346,-1902
-1379,-1662
-1145,-1779
-959,-1971
-614,-1911
-332,-2028
-383,-1800
-185,-1719
-20,-1866
217,-1671
541,-1632
904,-1596
1120,-1632
1453,-1539
1750,-1623
1927,-1719
1120,-654
1474,-606
1717,-744
1738,-423
1819,-201
1957,-15
2140,-111
1951,-204
1915,-333
2050,-390
2188,-321
2077,-519
1915,-594
1495,-1032
1291,-1206
1117,-1068
979,-1176
835,-1281
652,-1233
754,-1074
721,-927
580,-903
439,-984
307,-1245
2098,42
1786,-6
2119,-813
1999,-954
2092,-1122
1984,-1257
2077,-1359
1828,-1407
1660,-1401
1627,-1551
1921,-1545
2059,-1641
1306,-990
946,-990
523,-1197
181,-1359
16,-1692
-179,-1920
-473,-1971
-863,-1581
-1022,-1605
-1154,-1494
-1226,-1269
-1436,-1389
-1643,-1416
-1895,-1638
-1391,-864
-2144,-894
-2033,-1203
-653,-138
-962,-510
-1127,-846
-1766,-348
-611,-912
-320,-1092
-116,-942
-146,-1179
73,-825
-47,-534
-683,-1458
1915,-1107
1942,-756
2179,-999
1177,-990
